FG	1991	1993	1995	1997	1999	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
[R]OCO[R]	0.69	2.41	3.39	3.73	1.83	2.13	3.46	2.18	2.56	1.49	1.61	1.28	1.60	1.88	1.92	1.95	1.44	1.47	1.23	1.63	0.94	1.27	1.36
[R]N=CN([R])[R]	1.59	0.40	0.54	1.19	4.25	4.67	6.28	3.72	2.92	1.03	2.17	0.65	0.82	1.39	0.65	1.05	1.14	0.65	1.05	0.86	0.93	0.71	0.66
[R]N([R])C(=O)C=C	0.65	0.59	0.51	0.62	1.68	1.36	0.78	1.30	1.23	1.52	0.97	0.69	1.07	1.26	0.45	0.62	1.56	1.04	1.12	1.50	1.54	3.50	2.25
C=[Car]	0.14	0.11	0.34	0.21	1.01	0.81	0.46	1.52	0.82	0.31	0.91	1.27	0.68	0.77	1.90	0.97	1.77	1.49	1.33	1.56	1.00	1.14	1.09
[R]I	1.01	0.86	1.09	1.05	0.91	1.25	1.28	1.16	0.77	1.21	0.96	0.71	0.60	0.74	0.62	0.68	0.68	0.76	0.93	0.46	0.65	0.66	0.42
[R]S	2.13	1.64	2.19	1.70	1.38	0.64	1.50	0.42	0.36	0.34	0.46	0.36	0.64	0.31	0.17	0.08	0.26	0.45	0.38	0.31	0.52	0.47	0.34
[R]SS[R]	1.24	1.44	1.06	0.21	0.81	1.04	0.64	0.98	0.45	1.27	0.34	0.37	0.42	0.40	0.26	0.56	0.17	0.35	0.45	1.49	1.23	0.84	0.67
[R]C(=O)C=C	0.55	0.55	0.59	0.67	0.39	0.25	0.34	0.23	0.75	0.47	0.67	0.40	0.27	0.37	0.51	0.54	0.83	0.89	0.75	0.95	0.83	1.04	0.61
[R]N(C([R])=O)S([R])(=O)=O	0.29	0.77	2.14	0.47	0.72	0.21	0.50	0.07	0.19	0.18	0.74	0.57	0.43	0.47	0.37	0.36	0.65	0.50	0.90	0.40	0.66	0.53	0.89
[R]P(O)(O)=O	0.18	0.43	1.13	0.78	0.63	0.50	0.27	1.28	1.08	0.71	0.37	0.44	0.58	0.33	0.47	0.58	0.33	0.47	0.43	0.27	0.31	0.45	0.27
[R]N=C	2.20	1.28	1.18	1.19	0.11	0.20	0.42	0.42	0.24	0.15	0.33	0.33	0.50	0.38	0.33	0.18	0.11	0.57	0.60	0.33	0.22	0.77	0.19
[Nar+]	1.40	1.39	0.50	0.25	0.37	0.66	0.49	0.09	0.67	0.38	0.12	0.08	0.31	0.12	0.52	0.79	0.54	0.94	0.23	0.53	0.10	0.49	0.56
[R]N([R])C(=O)C([R])=O	0.02	0.35	0.43	1.68	0.97	0.30	0.38	0.27	1.88	1.00	1.14	0.12	0.42	0.18	0.60	0.18	0.15	0.09	0.39	0.20	0.14	0.26	0.20
[R]OC(=O)C=C	0.19	0.41	0.51	0.90	0.98	0.67	0.48	0.45	0.50	0.57	0.88	0.36	0.98	0.16	0.28	0.18	0.28	0.51	0.41	0.34	0.57	0.26	0.45
[R]N(C([R])=O)C([R])=O	1.71	0.33	0.69	0.57	0.45	0.22	0.59	0.50	0.78	0.55	0.27	0.28	0.55	0.52	0.25	0.25	0.36	0.26	0.21	0.31	0.76	0.32	0.31
[R]ON=C	0.47	0.19	0.82	0.28	1.07	0.76	2.00	1.11	0.23	0.23	0.75	0.27	0.34	0.22	0.15	0.41	0.13	0.27	0.21	0.19	0.38	0.12	0.16
[R]C=O	0.28	0.54	0.79	1.18	0.72	0.66	0.66	0.67	0.67	0.22	0.56	0.17	0.25	0.19	0.28	0.20	0.12	0.17	0.30	0.13	0.16	0.34	0.35
[R][N+]([R])([R])[R]	0.34	0.35	0.39	0.27	0.32	0.66	0.77	0.81	0.32	0.29	0.19	0.70	0.36	0.40	0.19	0.65	0.50	0.45	0.39	0.15	0.12	0.24	0.17
[R]OP(O)(O)=O	0.55	0.15	0.13	0.39	0.96	0.51	0.83	0.57	0.45	0.52	0.37	0.14	0.12	0.67	0.29	0.31	0.19	0.24	0.36	0.24	0.20	0.15	0.19
[R]N=[Car]	0.16	0.22	0.42	0.39	0.28	0.20	0.20	0.10	0.79	0.34	0.47	0.06	0.45	0.20	0.32	0.70	0.44	0.48	0.52	0.28	1.01	0.35	0.14
S=[Car]	0.29	0.23	0.14	0.45	0.21	0.09	0.13	0.27	0.29	0.13	0.48	0.65	0.38	0.37	0.24	0.15	0.58	0.83	0.43	0.57	0.40	0.43	0.34
[R]N(N=C)C([R])=O	0.07	0.10	0.31	0.09	0.00	0.09	1.00	0.39	0.28	0.15	0.10	0.11	0.31	0.15	0.32	0.30	0.76	0.53	0.35	0.26	1.10	0.42	0.58
OC(=O)C=C	0.53	0.54	0.26	0.25	0.52	0.26	0.62	0.22	0.55	0.21	0.10	0.11	0.16	0.17	0.39	0.27	0.11	0.11	0.42	0.49	0.39	0.46	0.39
[R]N([R])N([R])C([R])=O	0.28	0.51	0.13	0.51	0.45	0.18	0.49	0.19	0.40	0.71	0.32	0.28	0.58	0.32	0.27	0.11	0.30	0.22	0.29	0.17	0.24	0.22	0.32
[R]C([Nar])=O	0.76	0.23	0.50	0.27	0.26	0.50	0.35	0.07	0.24	0.30	0.20	0.41	0.07	0.15	0.13	0.42	0.09	0.46	0.33	0.21	0.36	0.26	0.48
